backend,circuit,dtype,max_abs_err,mode,n,peak_alloc_bytes,peak_smi_bytes,rel_err,trials,wall_s
pytorch,ghz,complex64,,end-to-end,14,8848896,1616904192,,5,0.005160498000009284
pytorch,ghz,complex64,,end-to-end,16,9769984,1646264320,,5,0.005869232000009106
pytorch,ghz,complex64,,end-to-end,18,13441536,1646264320,,5,0.008036415999981728
pytorch,ghz,complex64,,end-to-end,20,28127232,1667235840,,5,0.010437234999983502
pytorch,ghz,complex64,,end-to-end,22,86148096,1646264320,,5,0.019856072999971275
pytorch,ghz,bf16,7.551908493041992e-05,end-to-end,14,9021440,1646264320,0.00010680011473596096,5,0.006558471000005284
pytorch,ghz,bf16,7.551908493041992e-05,end-to-end,16,10403840,1648361472,0.00010680011473596096,5,0.00864655599997377
pytorch,ghz,bf16,7.551908493041992e-05,end-to-end,18,15915008,1648361472,0.00010680011473596096,5,0.012916858999972192
pytorch,ghz,bf16,7.551908493041992e-05,end-to-end,20,37941248,1650458624,0.00010680011473596096,5,0.018418158000031326
pytorch,ghz,bf16,7.551908493041992e-05,end-to-end,22,126027776,1776287744,0.00010680011473596096,5,0.024003542000002653
pytorch,brickwork,complex64,,end-to-end,18,13402112,1646264320,,5,0.05181876899996496
pytorch,brickwork,complex64,,end-to-end,20,26406400,1667235840,,5,0.050452542000016365
pytorch,brickwork,complex64,,end-to-end,22,78251520,1646264320,,5,0.06984384099996532
pytorch,brickwork,bf16,0.00022731667559128255,end-to-end,18,16076288,1646264320,0.11638621985912323,5,0.049873370999989675
pytorch,brickwork,bf16,0.0001309751096414402,end-to-end,20,38120960,1646264320,0.13411861658096313,5,0.06940025800003014
pytorch,brickwork,bf16,7.031532004475594e-05,end-to-end,22,126225920,1646264320,0.1440058946609497,5,0.08719565199999124
pytorch,qaoa-ising,complex64,,end-to-end,18,14366720,1648361472,,5,0.030788822999966214
pytorch,qaoa-ising,complex64,,end-to-end,20,33709568,1669332992,,5,0.03466489999999567
pytorch,qaoa-ising,complex64,,end-to-end,22,108764160,1753219072,,5,0.052187822999997024
pytorch,qaoa-ising,bf16,0.00043257942888885736,end-to-end,18,16020992,1648361472,0.04291968792676926,5,0.042085299000007126
pytorch,qaoa-ising,bf16,0.00027310740551911294,end-to-end,20,38059520,1646264320,0.044794440269470215,5,0.05924563000002081
pytorch,qaoa-ising,bf16,0.00018524701590649784,end-to-end,22,126158336,1788870656,0.050227515399456024,5,0.07477358600004891
